player_id,player_name,position,birth_year,draft_year,draft_round,draft_pick,draft_ovr,height,weight,college,season,season_type,team,conference,division,shotgun,no_huddle,qb_dropback,qb_scramble,pass_attempts,complete_pass,incomplete_pass,passing_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,tackled_for_loss,first_down_pass,first_down_rush,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,rush_touchdown,pass_touchdown,safety,interception,fumble,fumble_lost,fumble_forced,fumble_not_forced,fumble_out_of_bounds,receptions,targets,passing_air_yards,receiving_air_yards,receiving_touchdown,pass_attempts_redzone,complete_pass_redzone,pass_touchdown_redzone,pass_attempts_gtg,complete_pass_gtg,pass_touchdown_gtg,receptions_redzone,targets_redzone,receiving_touchdown_redzone,receptions_gtg,targets_gtg,receiving_touchdown_gtg,rush_attempts_redzone,rush_touchdown_redzone,rush_attempts_gtg,rush_touchdown_gtg,fantasy_points_ppr,fantasy_points_standard,offense_snaps,team_offense_snaps,total_tds,touches,total_yards,depth_team,games_missed,offense_pct,age,years_exp,games_played_season,games_played_career,season_shotgun,season_no_huddle,season_qb_dropback,season_qb_scramble,season_pass_attempts,season_complete_pass,season_incomplete_pass,season_passing_yards,season_receiving_yards,season_yards_after_catch,season_rush_attempts,season_rushing_yards,season_tackled_for_loss,season_first_down_pass,season_first_down_rush,season_third_down_converted,season_third_down_failed,season_fourth_down_converted,season_fourth_down_failed,season_rush_touchdown,season_pass_touchdown,season_safety,season_interception,season_fumble,season_fumble_lost,season_fumble_forced,season_fumble_not_forced,season_fumble_out_of_bounds,season_receptions,season_targets,season_passing_air_yards,season_receiving_air_yards,season_receiving_touchdown,season_pass_attempts_redzone,season_complete_pass_redzone,season_pass_touchdown_redzone,season_pass_attempts_gtg,season_complete_pass_gtg,season_pass_touchdown_gtg,season_receptions_redzone,season_targets_redzone,season_receiving_touchdown_redzone,season_receptions_gtg,season_targets_gtg,season_receiving_touchdown_gtg,season_rush_attempts_redzone,season_rush_touchdown_redzone,season_rush_attempts_gtg,season_rush_touchdown_gtg,season_fantasy_points_ppr,season_fantasy_points_standard,season_offense_snaps,season_team_offense_snaps,season_total_tds,season_touches,season_total_yards,career_shotgun,career_no_huddle,career_qb_dropback,career_qb_scramble,career_pass_attempts,career_complete_pass,career_incomplete_pass,career_passing_yards,career_receiving_yards,career_yards_after_catch,career_rush_attempts,career_rushing_yards,career_tackled_for_loss,career_first_down_pass,career_first_down_rush,career_third_down_converted,career_third_down_failed,career_fourth_down_converted,career_fourth_down_failed,career_rush_touchdown,career_pass_touchdown,career_safety,career_interception,career_fumble,career_fumble_lost,career_fumble_forced,career_fumble_not_forced,career_fumble_out_of_bounds,career_receptions,career_targets,career_passing_air_yards,career_receiving_air_yards,career_receiving_touchdown,career_pass_attempts_redzone,career_complete_pass_redzone,career_pass_touchdown_redzone,career_pass_attempts_gtg,career_complete_pass_gtg,career_pass_touchdown_gtg,career_receptions_redzone,career_targets_redzone,career_receiving_touchdown_redzone,career_receptions_gtg,career_targets_gtg,career_receiving_touchdown_gtg,career_rush_attempts_redzone,career_rush_touchdown_redzone,career_rush_attempts_gtg,career_rush_touchdown_gtg,career_fantasy_points_ppr,career_fantasy_points_standard,career_offense_snaps,career_team_offense_snaps,career_total_tds,career_touches,career_total_yards,season_average_shotgun
00-0023459,Aaron Rodgers,QB,1983,2005,1,24,24,74,223,California,2023,REG,NYJ,AFC,East,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,1,0,1,16,0.070175439,39,18,1,159,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,1,0,4940,990,6090,285,5370,3548,1822,40722,-11,20142,464,2211,8,1974,163,681,984,60,59,20,336,3,63,58,28,43,15,1,3,3,44558,-14,0,887,534,241,217,127,109,1,1,0,0,0,0,89,18,29,8,3777.88,3774.88,10194,10686,2.24,36.71,269.95,2
00-0026498,Matthew Stafford,QB,1988,2009,1,1,1,75,214,Georgia,2023,REG,LA,NFC,West,461,89,566,14,510,326,184,3965,0,1895,21,65,0,187,4,59,94,6,3,0,24,0,11,0,0,0,0,0,0,0,4033,0,0,83,40,18,26,14,10,0,0,0,0,0,0,3,0,1,0,287.1,287.1,1000,1023,24,531,4030,1,2,0.977517107,35,14,15,176,461,89,566,14,510,326,184,3965,0,1895,21,65,0,187,4,59,94,6,3,0,24,0,11,0,0,0,0,0,0,0,4033,0,0,83,40,18,26,14,10,0,0,0,0,0,0,3,0,1,0,287.1,287.1,1000,1023,1.6,35.4,268.67,5902,1048,7090,179,6352,4144,2208,48048,-3,23024,364,1114,2,2381,108,791,1185,58,58,12,295,1,143,67,35,38,29,1,2,3,51654,9,0,899,492,213,221,114,99,0,1,0,0,0,0,58,12,19,11,3486.02,3484.02,11629,11853,1.74,38.17,279.31,30.73
00-0027948,Blaine Gabbert,QB,1989,2011,1,10,10,76,235,Missouri,2023,REG,KC,AFC,West,34,0,40,4,32,18,14,185,0,118,7,45,0,8,2,6,11,0,0,0,0,0,3,0,0,0,0,0,0,0,198,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.9,5.9,79,136,0,39,230,2,15,0.580882353,33,12,2,50,34,0,40,4,32,18,14,185,0,118,7,45,0,8,2,6,11,0,0,0,0,0,3,0,0,0,0,0,0,0,198,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.9,5.9,79,136,0,19.5,115,886,166,1186,66,984,596,388,6481,0,3079,131,506,5,296,32,102,287,10,16,2,34,2,36,18,5,11,7,0,0,0,7918,0,0,101,58,22,21,9,9,0,0,0,0,0,0,10,1,5,1,438.84,438.84,1997,3277,0.72,22.3,139.74,17
00-0029263,Russell Wilson,QB,1988,2012,3,12,75,71,206,Wisconsin,2023,REG,DEN,AFC,West,425,80,527,36,439,297,142,3070,0,1733,80,341,0,135,38,60,104,8,5,3,26,1,8,10,5,9,1,2,0,0,3189,0,0,75,47,20,21,10,8,0,0,0,0,0,0,19,3,5,3,299.9,299.9,938,942,29,519,3411,1,2,0.995753715,34,11,15,188,425,80,527,36,439,297,142,3070,0,1733,80,341,0,135,38,60,104,8,5,3,26,1,8,10,5,9,1,2,0,0,3189,0,0,75,47,20,21,10,8,0,0,0,0,0,0,19,3,5,3,299.9,299.9,938,942,1.93,34.6,227.4,5386,525,6701,509,5559,3668,1891,43653,21,19508,981,5307,33,1997,331,726,1249,59,53,29,335,4,106,103,33,61,42,9,5,5,50608,10,1,778,434,228,162,90,77,1,1,1,0,0,0,131,26,30,15,4156.92,4151.92,12036,12274,1.94,34.81,260.54,28.33
00-0029293,Marvin Jones Jr.,WR,1990,2012,5,31,166,74,199,California,2023,REG,DET,NFC,North,7,0,10,0,0,0,0,0,35,9,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,1,0,0,5,10,0,80,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5.5,0.5,115,274,0,5,35,1,13,0.419708029,33,11,4,147,7,0,10,0,0,0,0,0,35,9,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,1,0,0,5,10,0,80,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5.5,0.5,115,274,0,1.25,8.75,754,142,906,0,0,0,0,0,7421,1612,19,148,4,359,6,117,123,7,8,0,58,0,26,1,1,1,0,0,547,878,0,11791,58,0,0,0,0,0,0,71,127,38,13,28,11,1,0,0,0,1596.9,1049.9,7813,9783,0.79,3.85,51.49,1.75
00-0029604,Kirk Cousins,QB,1988,2012,4,7,102,75,205,Michigan State,2023,REG,MIN,NFC,North,226,66,329,3,306,216,90,2331,0,996,14,25,0,112,6,39,56,9,4,0,18,0,5,7,4,4,3,1,0,0,2252,0,0,47,25,12,15,7,7,0,0,0,0,0,0,4,0,2,0,181.74,181.74,512,523,18,320,2356,1,9,0.978967495,35,11,8,149,226,66,329,3,306,216,90,2331,0,996,14,25,0,112,6,39,56,9,4,0,18,0,5,7,4,4,3,1,0,0,2252,0,0,47,25,12,15,7,7,0,0,0,0,0,0,4,0,2,0,181.74,181.74,512,523,2.25,40,294.5,3804,560,5579,114,5045,3451,1594,39221,-1,17789,306,956,7,1877,106,614,970,60,61,19,267,3,110,90,39,59,31,4,1,2,40483,5,0,698,411,186,175,95,88,0,0,0,0,0,0,65,19,26,11,3044.34,3043.34,9547,9915,1.92,35.92,269.64,28.25
00-0029701,Ryan Tannehill,QB,1988,2012,1,8,8,76,217,Texas A&M,2023,REG,TEN,AFC,South,218,13,269,8,223,149,74,1616,0,795,17,74,0,74,4,25,60,4,3,1,4,0,7,4,0,2,2,0,0,1,1816,-1,0,27,14,3,4,1,1,0,0,0,0,0,0,2,1,0,0,88.04,88.04,500,533,5,240,1690,1,8,0.938086304,35,11,9,153,218,13,269,8,223,149,74,1616,0,795,17,74,0,74,4,25,60,4,3,1,4,0,7,4,0,2,2,0,0,1,1816,-1,0,27,14,3,4,1,1,0,0,0,0,0,0,2,1,0,0,88.04,88.04,500,533,0.56,26.67,187.78,4215,573,5267,135,4608,3036,1572,34652,8,15405,442,2101,18,1693,157,559,1013,40,59,30,215,5,114,79,31,55,24,9,4,5,39258,-3,1,602,364,154,128,71,62,1,1,1,1,1,1,74,25,32,21,2749.98,2745.98,9414,9756,1.61,33.03,240.27,24.22
00-0030035,Adam Thielen,WR,1990,2014,0,0,0,74,195,Minnesota State-Mankato,2023,REG,CAR,NFC,South,132,17,138,0,0,0,0,0,1014,340,1,6,0,56,0,22,20,6,3,0,4,0,1,2,0,2,0,1,103,136,0,1058,4,0,0,0,0,0,0,9,15,4,2,3,2,1,0,0,0,227,124,1045,1149,8,104,1020,1,0,0.90948651,33,10,17,133,132,17,138,0,0,0,0,0,1014,340,1,6,0,56,0,22,20,6,3,0,4,0,1,2,0,2,0,1,103,136,0,1058,4,0,0,0,0,0,0,9,15,4,2,3,2,1,0,0,0,227,124,1045,1149,0.47,6.12,60,666,88,906,0,0,0,0,0,7621,2313,22,178,1,392,8,125,155,18,18,1,58,0,17,8,3,8,0,3,629,884,0,8976,58,0,0,0,0,0,0,86,122,44,22,34,21,4,1,1,1,1719.9,1090.9,7215,8905,0.88,4.89,58.64,7.76
00-0030061,Zach Ertz,TE,1990,2013,2,3,35,77,250,Stanford,2023,REG,ARI,NFC,West,38,6,43,0,0,0,0,0,187,46,0,0,0,8,0,3,11,0,2,0,1,0,2,0,0,0,0,0,27,41,0,332,1,0,0,0,0,0,0,3,7,1,1,1,1,0,0,0,0,47.7,20.7,295,458,2,27,187,1,10,0.644104803,32,10,7,148,38,6,43,0,0,0,0,0,187,46,0,0,0,8,0,3,11,0,2,0,1,0,2,0,0,0,0,0,27,41,0,332,1,0,0,0,0,0,0,3,7,1,1,1,1,0,0,0,0,47.7,20.7,295,458,0.29,3.86,26.71,951,329,1052,0,0,0,0,0,7347,2380,3,4,0,392,0,113,162,12,15,0,45,0,29,5,4,5,0,0,701,1018,0,8625,45,0,0,0,0,0,0,77,151,38,23,34,21,3,0,2,0,1636.1,935.1,7618,10431,0.61,4.76,49.67,5.43
00-0030279,Keenan Allen,WR,1992,2013,3,14,76,74,211,California,2023,REG,LAC,AFC,West,148,24,152,0,2,1,1,49,1243,423,2,6,0,58,1,22,18,3,2,0,8,0,2,2,1,2,0,0,108,148,39,1452,7,0,0,0,0,0,0,8,14,5,2,3,1,1,0,0,0,275.86,167.86,779,875,15,112,1298,1,4,0.890285714,31,10,13,137,148,24,152,0,2,1,1,49,1243,423,2,6,0,58,1,22,18,3,2,0,8,0,2,2,1,2,0,0,108,148,39,1452,7,0,0,0,0,0,0,8,14,5,2,3,1,1,0,0,0,275.86,167.86,779,875,1.15,8.62,99.85,1152,122,1308,0,3,1,2,49,10459,3694,18,113,2,552,7,207,194,15,11,0,59,0,37,12,7,8,4,1,898,1261,54,11361,58,0,0,0,0,0,0,101,163,44,20,34,14,1,0,0,0,2216.16,1318.16,8028,9344,0.85,6.71,77.53,11.38
